country.0,country.1,country.2,country.3,assembly
Italy,France,,,1
France,,,,1
France,Italy,,,1
France,,,,1
Turkey,,,,1
Italy,,,,1
Afghanistan,Åland Islands,Andorra,Antigua and Barbuda,1
France,,,,1
United States of America,,,,1
Philippines,,,,1
Italy,,,,1
France,,,,1
France,,,,1
Antarctica,,,,1
Syria,,,,1
Turkey,,,,1
Italy,,,,1
South Korea,,,,1
France,,,,1
Brazil,,,,1
South Korea,,,,1
Antarctica,,,,1
Romania,,,,1
South Korea,,,,1
South Korea,,,,1
France,South Korea,,,1
Ireland,,,,1
South Korea,,,,1
United States of America,France,Portugal,,1
Maldives,,,,1
France,,,,1
North Korea,,,,1
France,,,,1
China,,,,1
India,,,,1
France,,,,1
France,,,,1
Canada,,,,1
Switzerland,,,,1
France,,,,1
France,,,,1
France,Spain,,,1
France,Japan,,,1
France,,,,1
France,,,,1
France,North Korea,,,1
Italy,France,,,1
United States of America,,,,1
Italy,France,South Korea,,1
France,Italy,,,1
France,,,,1
France,,,,1
France,Italy,Greece,,1
France,,,,1
Antarctica,,,,1
France,,,,1
France,,,,1
Italy,South Korea,,,1
France,,,,1
France,Italy,,,1
France,,,,1
South Korea,France,,,1
France,Italy,Spain,,1
France,,,,1
France,,,,1
South Korea,,,,1
Canada,Northern Cyprus,North Macedonia,,1
Switzerland,,,,1
Afghanistan,France,,,1
France,,,,1
Norway,,,,1
France,Italy,Spain,,1
France,United States of America,Italy,,1
France,,,,1
France,,,,1
South Korea,,,,1
Italy,France,,,1
France,,,,1
Bermuda,Switzerland,,,1
France,Italy,,,1
France,Italy,,,1
Spain,France,Italy,,1
France,Italy,Spain,,1
Italy,India,,,1
South Korea,,,,1
South Korea,Italy,France,,1
France,Italy,,,1
Italy,France,,,1
France,Italy,,,1
Italy,,,,1
South Korea,Italy,,,1
France,,,,1
France,Italy,,,1
North Korea,,,,1
France,,,,1
South Korea,Japan,France,,1
France,,,,1
France,,,,1
Azerbaijan,,,,1
France,Italy,,,1
France,Spain,Italy,Portugal,1
Dominican Republic,Italy,,,1
Antarctica,,,,1
France,Japan,,,1
France,,,,1
Bosnia and Herzegovina,,,,1
Italy,China,France,Germany,1
France,Italy,,,1
France,United States of America,Italy,,1
France,Italy,,,1
China,Spain,France,,1
France,Italy,,,1
Czech Republic,,,,1
Puerto Rico,,,,1
Italy,France,,,1
France,Turkey,Italy,,1
France,,,,1
Antarctica,,,,1
Italy,France,,,1
France,United States of America,,,1
North Korea,Russia,France,,1
France,Italy,,,1
Croatia,Greece,France,Spain,1
France,South Korea,Australia,,1
Ukraine,France,Russia,United Kingdom,1
Italy,Spain,Greece,France,1
Antarctica,,,,1
China,Taiwan,France,Italy,1
France,Ireland,Italy,,1
Italy,Armenia,,,1
Spain,France,Poland,Italy,1
Spain,France,Italy,Argentina,1
France,Spain,Brazil,Italy,1
Italy,,,,1
France,Italy,,,1
South Korea,,,,1
Greece,Italy,Spain,,1
France,Switzerland,Canada,,1
France,Italy,,,1
Spain,France,Italy,,1
Japan,France,Romania,Italy,1
France,Italy,Greece,,1
Australia,Switzerland,France,,1
France,Angola,Mozambique,Pakistan,1
Ecuador,,,,1
France,Italy,,,1
France,Singapore,Portugal,Japan,1
France,Italy,Spain,Portugal,1
India,France,,,1
France,Italy,Spain,Greece,1
France,Maldives,Italy,India,1
South Korea,Japan,Italy,France,1
France,,,,1
France,Italy,,,1
France,Italy,,,1
Angola,Mozambique,Guinea-Bissau,Portugal,1
Jamaica,,,,1
North Korea,,,,1
France,Spain,Puerto Rico,,1
France,Switzerland,Italy,Norway,1
South Korea,,,,1
France,Italy,,,1
France,Vatican City,North Korea,,1
France,Italy,,,1
France,Italy,Canada,,1
France,Spain,Italy,North Korea,1
France,Italy,,,1
France,,,,1
France,,,,1
Canada,,,,1
Italy,France,,,1
France,,,,1
Antarctica,France,Vietnam,,1
Denmark,France,Italy,,1
France,Switzerland,Zambia,Yemen,1
France,India,Italy,,1
South Korea,,,,1
France,Italy,,,1
South Korea,,,,1
India,Syria,,,1
France,Italy,,,1
Spain,Antarctica,Philippines,France,1
France,Italy,Greece,,1
France,Italy,Romania,Japan,1
Pakistan,Niger,Chad,Somalia,1
France,Albania,United Kingdom,North Korea,1
Chad,Zambia,Zimbabwe,,1
France,Italy,Spain,,1
Spain,France,Italy,,1
France,South Korea,,,1
France,Peru,Dominican Republic,Jamaica,1
Italy,,,,1
France,Greece,Italy,,1
Syria,North Korea,Niger,Afghanistan,1
France,,,,1
France,Spain,Germany,,1
Italy,,,,1
North Korea,,,,1
France,Italy,Japan,,1
Italy,France,China,,1
North Korea,,,,1
France,Italy,,,1
France,Spain,Italy,,1
France,Italy,Sweden,South Korea,1
Uzbekistan,Afghanistan,Spain,Tajikistan,1
Antarctica,Bosnia and Herzegovina,,,1
Italy,,,,1
Argentina,Spain,Ireland,Italy,1
Colombia,Costa Rica,France,Greece,1
France,Italy,United States of America,,1
France,Italy,Brazil,,1
Thailand,,,,1
Italy,France,Japan,,1
Italy,France,North Korea,,1
France,Italy,Greece,Dominican Republic,1
France,Romania,United States of America,Italy,1
France,Italy,Colombia,,1
Spain,Italy,,,1
Italy,Australia,Zimbabwe,,1
France,Israel,Greece,Canada,1
France,Italy,,,1
North Korea,,,,1
Israel,,,,1
France,Italy,,,1
Italy,Spain,Greece,,1
France,Italy,,,1
France,Italy,Greece,,1
South Korea,France,Italy,,1
France,Italy,,,1
Italy,Brazil,France,North Korea,1
France,Italy,Spain,,1
Spain,Italy,France,Greece,1
China,France,Russia,Romania,1
France,Italy,,,1
France,Italy,United States of America,Taiwan,1
Bangladesh,Barbados,Belarus,Belize,1
Madagascar,,,,1
France,Italy,Greece,,1
France,Italy,,,1
Italy,France,Greece,,1
Spain,France,Portugal,Italy,1
France,Italy,,,1
Denmark,Israel,,,1
Italy,Monaco,France,,1
France,Italy,The Bahamas,United Kingdom,1
France,Greece,Canada,North Korea,1
Guatemala,Brazil,France,Italy,1
France,Italy,Spain,India,1
Dominican Republic,Jamaica,France,Italy,1
France,Italy,Greece,,1
Azerbaijan,France,Italy,,1
Niger,Nigeria,North Korea,,1
Albania,United States Minor Outlying Islands,Brazil,Estonia,1
France,India,Italy,,1
Italy,United States of America,North Korea,,1
Aruba,France,Italy,Puerto Rico,1
South Korea,Italy,,,1
France,Italy,,,1
France,Cayman Islands,Fiji,,1
France,Italy,Chad,Fiji,1
France,Italy,,,1
North Korea,,,,1
Mexico,France,Italy,Argentina,1
France,Italy,,,1
France,India,,,1
Spain,Antarctica,France,Russia,1
Chad,Zimbabwe,,,1
Antarctica,India,Philippines,Romania,1
South Korea,France,,,1
Bosnia and Herzegovina,Botswana,Liechtenstein,Wallis and Futuna,1
France,Italy,North Korea,,1
France,,,,1
Italy,Greece,Madagascar,Japan,1
Spain,,,,1
Italy,France,Greece,,1
Japan,France,,,1
France,Italy,,,1
Greece,Cyprus,Djibouti,,1
France,Italy,Spain,,1
North Korea,,,,1
Italy,France,Japan,South Korea,1
France,Spain,,,1
Austria,France,Italy,Denmark,1
Ghana,Jordan,Japan,,1
France,Italy,Spain,The Bahamas,1
China,France,Aruba,North Korea,1
Madagascar,,,,1
Finland,France,Italy,Japan,1
France,Italy,Spain,,1
Puerto Rico,Colombia,Italy,,1
Italy,France,Iceland,,1
Israel,Italy,Georgia,Jersey,1
Italy,Ukraine,,,1
Italy,,,,1
Italy,,,,1
France,Italy,South Korea,North Korea,1
Puerto Rico,France,Mexico,,1
France,Italy,Greece,,1
France,Italy,United States of America,United Kingdom,1
France,Switzerland,Spain,Italy,1
North Korea,Nauru,Turkmenistan,Kazakhstan,1
Mexico,France,,,1
France,Italy,Vatican City,Maldives,1
France,North Korea,India,Italy,1
France,Italy,Jamaica,Mexico,1
France,Italy,Greece,Spain,1
France,Italy,Somalia,,1
Austria,Jordan,,,1
France,Italy,,,1
Maldives,Fiji,Cyprus,Greece,1
Italy,Greece,Japan,United States of America,1
Saudi Arabia,France,India,Madagascar,1
Italy,,,,1
France,Italy,Aruba,Bermuda,1
Belgium,Spain,Italy,France,1
France,Italy,Spain,,1
Somalia,Philippines,Niger,,1
France,Italy,Spain,,1
Armenia,,,,1
France,,,,1
France,United States of America,Italy,Madagascar,1
France,Italy,Greece,Turks and Caicos Islands,1
France,Greece,Italy,,1
Pakistan,Niger,,,1
Mexico,,,,1
France,Japan,Azerbaijan,Philippines,1
Hong Kong,Spain,,,1
Italy,Spain,,,1
France,Italy,Japan,,1
France,Italy,Indonesia,Australia,1
France,Italy,Spain,,1
Greece,Italy,Antigua and Barbuda,,1
France,Mexico,United States of America,South Korea,1
Italy,Spain,,,1
Italy,France,Spain,United States of America,1
France,Italy,Romania,,1
France,Italy,New Zealand,Greece,1
Italy,France,Greece,Guinea,1
France,Italy,United States of America,Azerbaijan,1
France,Singapore,South Korea,Italy,1
Spain,France,Italy,United States of America,1
France,Italy,Greece,Iceland,1
Italy,Spain,France,Greece,1
France,Italy,,,1
South Korea,India,France,Mexico,1
France,Italy,United States of America,Spain,1
France,Italy,Zimbabwe,,1
Puerto Rico,Iran,Italy,Kosovo,1
France,Japan,China,,1
Antarctica,Armenia,,,1
France,Italy,Madagascar,,1
France,Italy,United States of America,,1
Azerbaijan,Italy,Greece,,1
China,France,Japan,South Korea,1
Switzerland,Japan,,,1
Niger,Nigeria,,,1
France,Italy,Spain,Switzerland,1
Christmas Island,,,,1
France,Italy,Dominican Republic,Spain,1
France,Brazil,Japan,,1
Antarctica,Canada,Netherlands,,1
Switzerland,Thailand,Italy,,1
Spain,Azerbaijan,Finland,Jamaica,1
Egypt,Italy,Greece,Morocco,1
France,Italy,Greece,,1
France,Italy,Spain,,1
France,Monaco,Italy,,1
Italy,France,,,1
Madagascar,Mexico,,,1
Spain,France,Italy,Fiji,1
French Guiana,India,Niger,Chad,1
Italy,Mexico,United Kingdom,India,1
France,Italy,Peru,Greece,1
India,South Korea,Tajikistan,Kiribati,1
North Korea,Antarctica,Bangladesh,British Indian Ocean Territory,1
Denmark,France,Italy,Switzerland,1
North Korea,Germany,"Palestine, State of",Nigeria,1
France,,,,1
Curaçao,France,Isle of Man,Marshall Islands,1
France,Italy,Colombia,,1
France,,,,1
France,Greece,Italy,Syria,1
South Korea,France,Japan,Mexico,1
France,Greece,Italy,Spain,1
France,Switzerland,Spain,Maldives,1
Italy,,,,1
France,,,,1
France,Italy,Spain,Brazil,1
Australia,Germany,Madagascar,New Zealand,1
South Korea,Spain,France,Italy,1
China,,,,1
France,Italy,Greece,,1
South Korea,France,Italy,Madagascar,1
Zimbabwe,,,,1
United States of America,Canada,North Korea,,1
France,South Korea,Greece,Colombia,1
France,Italy,Brazil,,1
France,,,,1
France,Italy,,,1
Italy,France,,,1
Madagascar,,,,1
France,Switzerland,India,,1
The Bahamas,France,United Kingdom,,1
France,,,,1
Azerbaijan,France,,,1
France,Italy,Brazil,Madagascar,1
France,Italy,,,1
France,Madagascar,,,1
Greece,India,Madagascar,Chad,1
Afghanistan,,,,1
France,Spain,Italy,,1
France,Italy,,,1
Italy,France,Spain,,1
France,,,,1
United Kingdom,Italy,Greece,United States of America,1
France,Italy,Spain,Madagascar,1
France,Italy,,,1
North Korea,Switzerland,Greece,,1
France,,,,1
South Korea,Italy,Spain,France,1
France,Italy,Maldives,,1
Zimbabwe,Ukraine,Tonga,Iran,1
"Åland Islands",,,,1
Italy,France,Greece,,1
France,Italy,,,1
Madagascar,,,,1
Argentina,,,,1
France,Italy,,,1
Indonesia,,,,1
France,,,,1
France,,,,1
Nepal,,,,2
India,,,,2
South Korea,,,,2
Poland,,,,2
Italy,Poland,,,2
Colombia,,,,2
South Korea,,,,2
France,,,,2
Spain,,,,2
Turks and Caicos Islands,,,,2
France,Chad,,,2
Venezuela,,,,2
France,,,,2
Italy,,,,2
Benin,Ireland,North Korea,South Korea,2
Switzerland,India,Spain,,2
Dominican Republic,,,,2
Antarctica,,,,2
Morocco,,,,2
Poland,,,,2
Italy,,,,2
Morocco,,,,2
France,,,,2
Morocco,,,,2
France,,,,2
France,,,,2
Morocco,,,,2
Antarctica,,,,2
Italy,,,,2
France,,,,2
Morocco,,,,2
France,,,,2
Kazakhstan,,,,2
Italy,,,,2
France,,,,2
Morocco,,,,2
Morocco,,,,2
India,,,,2
Spain,,,,2
Italy,,,,2
Morocco,,,,2
South Korea,,,,2
France,,,,2
North Korea,,,,2
France,,,,2
Canada,,,,2
Morocco,,,,2
France,,,,2
Morocco,,,,2
Zimbabwe,,,,2
Singapore,,,,2
Morocco,,,,2
Philippines,,,,2
France,,,,2
France,,,,2
France,Greece,Zimbabwe,,2
France,Italy,Japan,Morocco,2
France,,,,2
Morocco,,,,2
France,Italy,,,2
Ukraine,,,,2
Vatican City,,,,2
Morocco,,,,2
France,,,,2
France,,,,2
Italy,,,,2
France,,,,2
France,,,,2
Ireland,,,,2
France,Italy,Spain,,2
France,,,,2
France,Italy,Greece,,2
France,,,,2
Italy,France,,,2
France,,,,2
Italy,,,,2
Morocco,,,,2
France,,,,2
France,,,,2
Italy,,,,2
Canada,,,,2
Mozambique,,,,2
France,Belgium,,,2
Dominican Republic,,,,2
France,,,,2
France,,,,2
Switzerland,,,,2
Canada,,,,2
Italy,,,,2
Italy,,,,2
Ukraine,,,,2
Italy,Brazil,Spain,,2
France,Italy,,,2
France,Italy,,,2
Chad,,,,2
France,,,,2
Afghanistan,North Korea,Democratic Republic of the Congo,Venezuela,2
India,North Korea,,,2
Italy,France,,,2
France,Spain,,,2
Antarctica,France,Djibouti,,2
Antarctica,,,,2
France,Spain,Italy,,2
France,,,,2
France,China,Italy,,2
France,Italy,,,2
United States of America,Philippines,,,2
Italy,,,,2
France,India,South Korea,,2
United States of America,,,,2
France,Italy,Spain,,2
France,Thailand,Japan,South Korea,2
Japan,China,France,Italy,2
Afghanistan,North Korea,Ukraine,,2
France,,,,2
Japan,France,United States of America,Chad,2
Vatican City,,,,2
Mozambique,,,,2
France,Italy,South Korea,,2
Antarctica,,,,2
France,,,,2
Zimbabwe,Egypt,,,2
Kazakhstan,,,,2
China,,,,2
Italy,,,,2
Zimbabwe,,,,2
South Korea,France,,,2
Italy,France,Bosnia and Herzegovina,,2
France,India,,,2
France,,,,2
Puerto Rico,Jamaica,,,2
Guinea,,,,2
France,Spain,Argentina,Italy,2
Morocco,Hong Kong,North Korea,Djibouti,2
France,Italy,Australia,Denmark,2
Ukraine,Italy,Spain,,2
Italy,France,,,2
India,France,,,2
Jamaica,,,,2
France,,,,2
Mozambique,,,,2
Italy,France,Japan,,2
Greece,,,,2
France,Italy,Spain,Greece,2
United States of America,Kazakhstan,France,Italy,2
France,South Korea,,,2
Chad,France,,,2
France,Greece,Italy,,2
Italy,France,Cuba,Puerto Rico,2
France,United Kingdom,Japan,,2
France,India,South Korea,Netherlands,2
China,,,,2
France,Italy,Netherlands,Spain,2
Zimbabwe,France,,,2
Austria,Belgium,Singapore,Italy,2
France,Canada,,,2
Italy,Spain,Greece,,2
Mexico,Spain,,,2
Romania,France,Italy,Japan,2
Chad,,,,2
France,Mexico,Italy,Spain,2
Albania,Mozambique,,,2
Mali,,,,2
Albania,Zimbabwe,Morocco,,2
Austria,,,,2
Spain,,,,2
Afghanistan,Chad,Ukraine,,2
France,Japan,Spain,Italy,2
Antarctica,France,,,2
France,Spain,South Korea,,2
France,,,,2
Italy,France,,,2
South Korea,Spain,Japan,Puerto Rico,2
France,Greece,Jamaica,,2
France,Belize,Costa Rica,,2
Colombia,China,Morocco,,2
Spain,,,,2
Mexico,Jamaica,Greece,,2
France,Kenya,India,,2
Italy,France,Japan,Ivory Coast,2
France,,,,2
Kazakhstan,Italy,South Korea,,2
Antarctica,,,,2
France,India,,,2
France,,,,2
France,China,,,2
France,Spain,Italy,,2
France,Italy,Antarctica,Australia,2
France,Italy,Greece,,2
France,Italy,Zimbabwe,Spain,2
France,South Korea,Spain,,2
France,Italy,Greece,,2
Turkey,Afghanistan,Nepal,Greenland,2
France,Italy,India,Morocco,2
Lithuania,Chad,Morocco,,2
Greece,,,,2
France,Italy,Spain,Nigeria,2
France,Italy,Greece,Spain,2
France,Greece,Iceland,Italy,2
France,Italy,Greece,Spain,2
Antarctica,,,,2
Fiji,,,,2
Austria,,,,2
Finland,Georgia,Greenland,Kazakhstan,2
France,Italy,Greece,Spain,2
France,,,,2
Vatican City,,,,2
France,Benin,Cambodia,Botswana,2
Kazakhstan,Uzbekistan,,,2
France,Italy,,,2
Afghanistan,North Korea,Armenia,Russia,2
Germany,Canada,Denmark,Fiji,2
United States of America,France,Italy,,2
France,Italy,Ireland,Spain,2
Italy,,,,2
Turkey,Afghanistan,North Korea,Russia,2
Italy,Spain,France,Greece,2
France,Italy,,,2
France,Belgium,Brazil,,2
Japan,South Korea,,,2
Italy,,,,2
India,Morocco,,,2
Niger,North Korea,Guatemala,,2
Afghanistan,Chad,Pakistan,Uganda,2
France,Mexico,,,2
Argentina,France,Spain,,2
France,Spain,,,2
Italy,,,,2
France,Italy,Spain,,2
South Sudan,South Korea,,,2
Antarctica,Aruba,Cayman Islands,Ireland,2
Bangladesh,Colombia,Ghana,Indonesia,2
France,Italy,,,2
Turkey,North Korea,Indonesia,India,2
France,,,,2
North Korea,Russia,Iran,Pakistan,2
Italy,France,Fiji,,2
Djibouti,Italy,France,Morocco,2
United States of America,France,,,2
India,Bangladesh,Vatican City,,2
France,Italy,Spain,,2
Hungary,France,South Korea,Spain,2
Italy,France,India,,2
Antarctica,Italy,,,2
Australia,France,,,2
Iceland,France,South Korea,,2
Spain,France,Mexico,,2
France,Italy,Spain,,2
France,Italy,Spain,,2
South Korea,Italy,,,2
Greece,Spain,,,2
Austria,Italy,,,2
Chad,France,,,2
South Africa,,,,2
Ukraine,Antarctica,Cook Islands,South Africa,2
Saudi Arabia,Italy,,,2
Fiji,France,Greece,Greenland,2
France,Spain,Italy,Israel,2
France,Italy,,,2
Madagascar,France,,,2
Canada,Greece,South Korea,,2
Spain,France,Italy,,2
Greece,Russia,Slovakia,North Korea,2
Italy,Spain,Morocco,Canada,2
Italy,France,,,2
France,Iceland,Antarctica,New Zealand,2
Trinidad and Tobago,,,,2
North Korea,Armenia,Russia,South Sudan,2
Somalia,,,,2
Italy,Spain,United States of America,Japan,2
American Samoa,Australia,,,2
North Korea,,,,2
Greece,Sweden,,,2
Heard Island and McDonald Islands,,,,2
France,Colombia,Thailand,,2
Israel,United States of America,Canada,Australia,2
Greece,Cyprus,France,,2
Antarctica,France,South Korea,India,2
Poland,Italy,France,,2
Italy,France,Antarctica,Virgin Islands (U.S.),2
Antarctica,,,,2
Antarctica,,,,2
United Arab Emirates,,,,2
Japan,,,,2
Italy,Virgin Islands (British),France,Turkey,2
Niger,United States of America,Chad,,2
France,The Bahamas,,,2
Aruba,,,,2
Spain,,,,2
Italy,France,United States of America,,2
Antarctica,Zimbabwe,North Korea,South Korea,2
France,Italy,Netherlands,Japan,2
France,Greece,Italy,Spain,2
United Arab Emirates,Pakistan,,,2
Denmark,Fiji,Switzerland,,2
Afghanistan,Andorra,Burkina Faso,Dominica,2
Spain,,,,2
Heard Island and McDonald Islands,,,,2
Italy,United States of America,France,,2
Chad,China,,,2
Mexico,,,,2
France,Argentina,Brazil,Ireland,2
Mozambique,Morocco,,,2
Christmas Island,Italy,,,2
France,Italy,Japan,,2
France,Italy,Greece,Spain,2
Italy,Hungary,Spain,,2
France,Argentina,Zimbabwe,Greece,2
Switzerland,Colombia,Morocco,,2
France,Italy,India,,2
Greece,,,,2
France,Italy,South Korea,,2
France,Italy,Aruba,,2
Turks and Caicos Islands,,,,2
France,Italy,Spain,,2
France,,,,2
Italy,,,,2
France,,,,2
France,,,,2
France,,,,2
Italy,,,,2
France,Italy,Peru,,2
France,Italy,Japan,South Korea,2
Iraq,Virgin Islands (U.S.),,,2
Spain,Costa Rica,,,2
Azerbaijan,,,,2
Nicaragua,,,,2
France,Brazil,Russia,Philippines,2
Dominican Republic,,,,2
United States of America,,,,2
Angola,Armenia,The Bahamas,Argentina,2
France,,,,2
American Samoa,,,,2
Maldives,,,,2
Austria,,,,2
India,United States of America,,,2
Afghanistan,Niger,Sierra Leone,Wallis and Futuna,2
Japan,Italy,France,Armenia,2
